,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.6845668126742136,0.3460602372984484,0.6461232604373758,0.45071817731550273,0.7375724920036515
Random Forest,0.6949200750895955,0.3513077171456248,0.6180062482249361,0.4479670612454967,0.7344152470297012
XGBoost,0.7028841231014279,0.3594317806408986,0.6180062482249361,0.45451697127937335,0.7361179547918271
